Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,y
167998947,0,15,0,150,0,0,0.0,0.0,16,6,10.0,5.0709255283711,0.89286273919324,0.089286273919324,11999924.7857143,9052189.97308644,21001428,626,0,0.0,0.0,0,0,167998947,11999924.7857143,9052189.97308644,21001428,626,0,1,0,0,0,480,0.0,0.089286273919324,6,16,9.75,5.0,25.0,0,0,0,1,1,0,0,0,0,10.4,0.0,10.0,0,0,0,0,0,0,0,0,15,150,-1,260,0,0,3830575.5,3538852.35805685,6332922,1328229,17815310.666666698,5004399.84029267,21001428,6672228,6
148543925,31,278,366,6660,42,6,11.8064516129032,11.115812625381,32,6,23.9568345323741,8.06639461429979,47.2991406413961,2.08019277799479,482285.470779221,589644.438238695,9999945,0,138086376,4602879.2,5155074.67437376,19337212,0,148543925,536259.657039711,667514.228698873,11015489,31892,0,1,0,0,620,5560,0.208692479345756,1.87150029864904,6,42,22.7612903225806,9.155318450761689,83.8198559348575,0,0,0,1,1,0,0,0,8,22.8349514563107,11.8064516129032,23.9568345323741,0,0,0,0,0,0,31,366,278,6660,-1,253,31,0,138543549.0,0.0,138543549,138543549,9999945.0,0.0,9999945,9999945,10
22503047,2,9,22,103,16,6,11.0,7.07106781186548,16,6,11.444444444444402,5.17472489875334,5.554803311747071,0.488822691433742,2250304.7,4116208.19229743,10007325,439,10808928,10808928.0,0.0,10808928,10808928,22503047,2812880.875,4470175.49391202,10007764,477,0,1,0,0,64,288,0.0888768529879529,0.399945838445789,6,16,10.916666666666698,5.14266173269929,26.4469696969697,0,0,0,1,1,0,0,0,4,11.9090909090909,11.0,11.444444444444402,0,0,0,0,0,0,2,22,9,103,-1,260,2,0,401781.0,565433.694935136,801603,1959,10004338.5,4223.548804027249,10007325,10001352,3
42330060,2,11,22,126,16,6,11.0,7.07106781186548,16,6,11.4545454545455,5.22232967867094,3.49633333853059,0.307110360816876,3527505.0,4489199.35954466,10026289,427,31016697,31016697.0,0.0,31016697,31016697,42330060,4233006.0,4617048.77207472,10026815,427,0,1,0,0,64,352,0.047247747817981,0.2598626129988949,6,16,11.0,5.1887452166277095,26.92307692307689,0,0,0,1,1,0,0,0,5,11.8461538461538,11.0,11.4545454545455,0,0,0,0,0,0,2,22,11,126,-1,260,2,0,1157181.66666667,2001282.80613819,3468064,1705,9389323.0,1246079.72181746,10026289,7520272,6
31002918,1,9,16,104,16,16,16.0,0.0,16,6,11.555555555555598,5.2704627669473,3.87060340578264,0.3225502838152199,3444768.66666667,4418657.04680393,10010324,605,0,0.0,0.0,0,0,31002918,3875364.75,4518224.70481594,10013020,605,0,1,0,0,32,288,0.032255028381522,0.290295255433698,6,16,11.4545454545455,5.22232967867094,27.2727272727273,0,0,0,1,1,0,0,0,9,12.6,16.0,11.555555555555598,0,0,0,0,0,0,1,16,9,104,-1,260,1,0,2196396.0,3103744.80685542,4391075,1717,8870042.0,1966502.17593879,10010324,6599328,7
33650681,2,9,22,124,16,6,11.0,7.07106781186548,32,6,13.7777777777778,8.856886837057619,4.33869376967438,0.326887886756289,3365068.1,4522416.52251884,10013839,3545,10015625,10015625.0,0.0,10015625,10015625,33650681,4206335.125,4719461.22962328,10017893,3594,0,1,0,0,64,288,0.059434161228416,0.267453725527873,6,32,12.666666666666698,8.194602806208191,67.1515151515151,0,0,0,1,1,0,0,0,4,13.8181818181818,11.0,13.7777777777778,0,0,0,0,0,0,2,22,9,124,-1,260,2,0,5654.33333333333,2114.43144446287,7819,3594,9562215.0,777016.837939179,10013839,8665000,0
178467200,2,20,22,210,16,6,11.0,7.07106781186548,16,6,10.5,5.1041778553404,1.299958759929,0.123271951372577,8498438.095238099,8367626.03772952,21000463,442,10019496,10019496.0,0.0,10019496,10019496,178467200,9393010.52631579,8302363.65683579,21000463,442,0,1,0,0,64,640,0.0112065410338709,0.1120654103387069,6,16,10.3478260869565,5.0686980186970185,25.6916996047431,0,0,0,1,1,0,0,0,10,10.8181818181818,11.0,10.5,0,0,0,0,0,0,2,22,20,210,-1,260,2,0,1849735.6,2060595.85196474,4528656,1729,15383502.0,5294560.929271401,21000463,7184500,6
30005525,2,7,22,61,16,6,11.0,7.07106781186548,16,6,8.714285714285719,4.64450520200253,2.76615723270964,0.299944760173335,3750690.625,5001695.0439945,10009860,516,19993683,19993683.0,0.0,19993683,19993683,30005525,5000920.83333333,5246498.76407535,10011053,1466,0,1,0,0,64,224,0.06665439114963,0.2332903690237049,6,16,8.9,4.67736868097628,21.8777777777778,0,0,0,1,1,0,0,0,3,9.888888888888893,11.0,8.71428571428571,0,0,0,0,0,0,2,22,7,61,-1,260,2,0,331531.5,466783.10657145706,661597,1466,9779530.66666667,391347.54089087294,10009860,9327670,3
26993851,2,6,22,55,16,6,11.0,7.07106781186548,16,6,9.16666666666667,4.91596040125088,2.8525014826524706,0.296363790405452,3856264.42857143,4892210.91523876,10018224,1155,10019379,10019379.0,0.0,10019379,10019379,26993851,5398770.2,5051467.1726896,10022315,1433,0,1,0,0,64,192,0.0740909476013629,0.222272842804089,6,16,9.22222222222223,4.84194634877798,23.4444444444444,0,0,0,1,1,0,0,0,3,10.375,11.0,9.16666666666667,0,0,0,0,0,0,2,22,6,55,-1,260,2,0,1294.0,196.57568516986,1433,1155,8964619.33333333,1816021.23272729,10018224,6867667,5
179579488,0,16,0,166,0,0,0.0,0.0,16,6,10.375,5.1234753829798,0.9243817423067828,0.089097035403064,11971965.8666667,8560104.59622882,21001879,1678,0,0.0,0.0,0,0,179579488,11971965.8666667,8560104.59622882,21001879,1678,0,1,0,0,0,512,0.0,0.089097035403064,6,16,10.1176470588235,5.07299656195892,25.7352941176471,0,0,0,1,1,0,0,0,0,10.75,0.0,10.375,0,0,0,0,0,0,0,0,16,166,-1,260,0,0,2703909.0,2286138.57381568,4423005,109437,17146776.1,4752428.1056046,21001879,8469314,6
